PAT_ABS,pacients
119,35299
199,33325
171,28553
85,26747
208,25620
126,25558
100,25146
15,24532
125,24505
189,23263
325,20804
234,17765
124,16431
93,14548
,13523
127,12696
221,12304
336,12107
187,11836
231,11239
267,9938
330,9869
8,9566
5,9547
101,7940
133,5405
142,5321
134,4814
83,4798
343,4773
80,3696
92,3329
173,3128
172,2884
114,2180
84,2033
258,1760
143,1481
177,1189
347,1089
346,893
90,873
207,470
9,427
350,264
238,168
254,149
186,148
351,144
43,138
144,135
217,132
190,131
103,130
46,126
376,122
286,121
285,120
42,117
21,117
121,116
25,116
28,112
67,112
47,111
48,109
335,106
360,106
39,103
30,102
153,101
23,101
49,98
55,97
44,95
41,95
251,92
395,92
38,91
19,90
31,90
95,90
156,89
152,89
155,88
24,88
326,87
247,86
389,85
315,84
54,81
71,80
10,79
22,79
35,79
252,79
72,79
358,79
154,78
271,77
65,77
253,77
284,76
76,74
164,73
36,73
27,72
403,72
361,71
349,71
348,70
212,70
377,70
18,69
74,69
51,69
145,68
29,68
302,68
17,67
273,67
277,67
82,66
192,66
40,65
105,65
59,65
287,65
50,64
396,64
319,63
224,63
45,63
158,62
33,62
230,62
353,62
311,62
362,62
400,62
342,61
89,61
73,61
56,61
197,60
233,60
385,59
309,59
191,58
290,57
4,57
288,57
388,57
160,57
331,56
225,56
78,55
312,54
291,54
368,54
13,54
157,54
276,53
320,53
62,53
274,53
148,53
102,52
282,51
327,51
32,51
386,51
97,50
279,50
390,50
77,50
146,50
257,49
365,49
245,49
275,49
20,48
14,48
216,47
341,47
52,47
104,47
363,47
345,46
283,46
69,46
182,45
392,45
222,45
86,44
219,44
206,44
183,44
250,44
248,43
223,43
79,43
63,42
117,41
261,41
226,41
202,40
136,40
175,39
359,39
296,39
53,39
372,39
211,38
161,38
357,38
115,38
356,37
159,37
235,37
210,37
75,37
149,37
289,36
168,36
402,36
355,36
185,36
383,35
280,35
310,35
135,34
128,34
371,34
196,33
292,33
272,33
293,33
174,33
366,33
255,33
113,33
393,33
108,32
34,32
193,32
391,32
241,32
147,32
109,32
16,32
123,31
205,31
322,31
218,31
299,31
364,31
64,31
294,31
116,31
316,31
300,30
165,30
384,30
304,30
295,29
281,29
209,29
130,29
122,29
398,29
141,28
379,28
369,28
150,28
387,28
339,28
98,27
263,27
244,27
399,27
317,27
213,26
137,26
265,26
198,26
374,26
380,26
138,26
394,25
215,25
11,25
236,25
256,25
194,24
338,24
303,24
378,24
91,23
203,23
401,23
240,23
184,22
344,22
328,22
262,22
111,22
298,22
167,22
397,22
242,22
307,21
140,21
106,21
229,20
70,20
260,20
305,19
259,19
214,18
162,18
139,17
306,17
178,17
269,17
163,16
239,16
131,15
201,15
370,15
340,15
188,15
243,14
110,14
120,14
2,14
314,14
246,13
297,13
337,13
179,13
166,12
7,12
118,12
204,12
373,12
237,12
329,11
249,11
3,11
169,11
112,11
232,10
81,10
266,10
375,10
200,10
12,10
367,10
87,9
352,9
228,8
88,8
107,7
1,7
181,6
176,6
180,6
324,6
354,5
96,5
333,4
334,3
129,3
