PAT_ABS,registres,pacients,percentatge_pacients
199,89285,33325,6.3
119,88921,35299,6.67
171,71961,28553,5.4
85,70035,26747,5.05
100,69785,25146,4.75
126,69520,25559,4.83
15,69262,24532,4.64
125,65760,24505,4.63
208,64513,25620,4.84
189,59075,23263,4.4
325,53067,20804,3.93
234,50733,17765,3.36
124,42457,16431,3.1
93,37641,14548,2.75
127,37309,12696,2.4
187,36293,11836,2.24
221,33953,12304,2.33
231,31746,11239,2.12
336,31491,12107,2.29
8,27906,9566,1.81
330,27414,9869,1.86
5,27371,9547,1.8
267,26512,9938,1.88
101,22014,7941,1.5
NULL,16760,13523,2.56
133,14321,5405,1.02
343,13961,4773,0.9
134,12646,4814,0.91
83,12600,4798,0.91
80,10503,3696,0.7
92,9768,3329,0.63
142,9454,5321,1.01
173,5447,3128,0.59
172,4644,2884,0.54
114,3688,2180,0.41
84,3427,2033,0.38
258,2921,1760,0.33
143,2793,1481,0.28
177,2357,1189,0.22
347,1914,1089,0.21
90,1742,873,0.16
346,1637,893,0.17
9,803,427,0.08
207,775,470,0.09
350,406,264,0.05
238,253,168,0.03
186,233,148,0.03
351,230,144,0.03
254,219,149,0.03
217,219,132,0.02
28,218,112,0.02
376,193,122,0.02
103,185,130,0.02
335,185,106,0.02
144,185,135,0.03
286,183,121,0.02
43,179,138,0.03
121,172,116,0.02
46,171,126,0.02
190,168,131,0.02
285,163,120,0.02
25,162,116,0.02
42,160,117,0.02
21,158,117,0.02
67,153,112,0.02
55,151,97,0.02
360,150,106,0.02
39,148,103,0.02
49,148,98,0.02
153,147,101,0.02
48,143,109,0.02
23,141,101,0.02
47,139,111,0.02
38,133,91,0.02
30,132,102,0.02
155,130,88,0.02
41,130,95,0.02
152,128,89,0.02
95,127,90,0.02
395,126,92,0.02
19,123,90,0.02
251,122,92,0.02
154,122,78,0.01
247,122,86,0.02
31,121,90,0.02
156,117,89,0.02
24,116,88,0.02
10,114,79,0.01
361,113,71,0.01
72,113,79,0.01
284,113,76,0.01
252,113,79,0.01
44,112,95,0.02
253,111,77,0.01
326,111,87,0.02
358,111,79,0.01
71,111,80,0.02
389,110,85,0.02
22,110,79,0.01
65,110,77,0.01
54,110,81,0.02
315,109,84,0.02
212,108,70,0.01
377,107,70,0.01
271,105,77,0.01
349,105,71,0.01
36,104,73,0.01
35,104,79,0.01
164,103,73,0.01
145,101,68,0.01
50,100,64,0.01
18,100,69,0.01
277,99,67,0.01
74,98,69,0.01
82,98,66,0.01
362,97,62,0.01
27,96,72,0.01
319,95,63,0.01
348,95,70,0.01
56,94,61,0.01
158,93,62,0.01
311,92,62,0.01
76,92,74,0.01
105,92,65,0.01
353,92,62,0.01
287,91,65,0.01
51,91,69,0.01
312,90,54,0.01
273,90,67,0.01
191,90,58,0.01
4,90,57,0.01
40,90,65,0.01
29,89,68,0.01
288,89,57,0.01
233,88,60,0.01
403,88,72,0.01
33,87,62,0.01
342,87,61,0.01
302,87,68,0.01
224,87,63,0.01
230,86,62,0.01
396,85,64,0.01
309,85,59,0.01
17,85,67,0.01
59,85,65,0.01
192,84,66,0.01
89,84,61,0.01
45,82,63,0.01
290,82,57,0.01
400,82,62,0.01
97,82,50,0.01
331,81,56,0.01
78,81,55,0.01
13,80,54,0.01
282,79,51,0.01
320,78,53,0.01
197,78,60,0.01
225,78,56,0.01
148,77,53,0.01
102,77,52,0.01
206,76,44,0.01
291,76,54,0.01
385,76,59,0.01
275,75,49,0.01
32,74,51,0.01
245,74,49,0.01
257,74,49,0.01
368,74,54,0.01
160,73,57,0.01
392,73,45,0.01
276,72,53,0.01
146,72,50,0.01
73,71,61,0.01
104,71,47,0.01
388,71,57,0.01
62,70,53,0.01
216,70,47,0.01
20,68,48,0.01
261,68,41,0.01
274,68,53,0.01
69,67,46,0.01
157,66,54,0.01
386,66,51,0.01
77,65,50,0.01
149,65,37,0.01
183,65,44,0.01
365,64,49,0.01
327,64,51,0.01
279,64,50,0.01
79,64,43,0.01
223,63,43,0.01
363,63,47,0.01
341,63,47,0.01
52,61,47,0.01
390,61,50,0.01
14,61,48,0.01
280,61,35,0.01
359,61,39,0.01
372,59,39,0.01
86,59,44,0.01
283,58,46,0.01
185,58,36,0.01
345,58,46,0.01
182,58,45,0.01
219,58,44,0.01
226,57,41,0.01
161,57,38,0.01
357,56,38,0.01
75,56,37,0.01
168,56,36,0.01
117,56,41,0.01
211,54,38,0.01
222,54,45,0.01
383,54,35,0.01
210,53,37,0.01
63,53,42,0.01
248,53,43,0.01
202,53,40,0.01
53,53,39,0.01
304,53,30,0.01
159,53,37,0.01
250,53,44,0.01
356,52,37,0.01
300,52,30,0.01
113,52,33,0.01
355,52,36,0.01
136,52,40,0.01
402,50,36,0.01
366,50,33,0.01
128,50,34,0.01
310,50,35,0.01
241,49,32,0.01
174,49,33,0.01
34,49,32,0.01
165,49,30,0.01
296,49,39,0.01
255,48,33,0.01
64,48,31,0.01
147,48,32,0.01
135,48,34,0.01
122,48,29,0.01
196,47,33,0.01
205,47,31,0.01
235,47,37,0.01
108,47,32,0.01
130,46,29,0.01
317,46,27,0.01
150,45,28,0.01
281,45,29,0.01
109,45,32,0.01
175,45,39,0.01
193,45,32,0.01
398,45,29,0.01
263,45,27,0.01
364,45,31,0.01
393,45,33,0.01
123,44,31,0.01
16,44,32,0.01
272,44,33,0.01
299,43,31,0.01
289,43,36,0.01
391,43,32,0.01
115,43,38,0.01
91,43,23,0.0
293,43,33,0.01
295,42,29,0.01
294,42,31,0.01
371,42,34,0.01
339,42,28,0.01
387,41,28,0.01
328,41,22,0.0
11,41,25,0.0
116,41,31,0.01
384,41,30,0.01
141,41,28,0.01
98,40,27,0.01
178,40,17,0.0
137,39,26,0.0
244,38,27,0.01
322,38,31,0.01
260,38,20,0.0
292,37,33,0.01
378,37,24,0.0
369,37,28,0.01
218,37,31,0.01
316,37,31,0.01
167,37,22,0.0
242,36,22,0.0
338,36,24,0.0
397,36,22,0.0
379,35,28,0.01
256,35,25,0.0
265,35,26,0.0
240,34,23,0.0
399,34,27,0.01
198,34,26,0.0
209,33,29,0.01
138,33,26,0.0
401,33,23,0.0
303,33,24,0.0
236,32,25,0.0
106,32,21,0.0
215,32,25,0.0
229,31,20,0.0
262,30,22,0.0
374,30,26,0.0
111,30,22,0.0
394,30,25,0.0
120,30,14,0.0
213,30,26,0.0
344,30,22,0.0
380,29,26,0.0
140,29,21,0.0
298,29,22,0.0
305,29,19,0.0
306,28,17,0.0
70,28,20,0.0
259,28,19,0.0
307,27,21,0.0
314,26,14,0.0
194,26,24,0.0
203,26,23,0.0
214,25,18,0.0
139,25,17,0.0
184,24,22,0.0
340,24,15,0.0
188,23,15,0.0
162,22,18,0.0
201,21,15,0.0
239,21,16,0.0
269,21,17,0.0
112,21,11,0.0
166,21,12,0.0
370,20,15,0.0
243,19,14,0.0
163,19,16,0.0
2,18,14,0.0
131,18,15,0.0
237,18,12,0.0
110,17,14,0.0
337,17,13,0.0
297,16,13,0.0
7,16,12,0.0
118,16,12,0.0
179,15,13,0.0
367,14,10,0.0
169,14,11,0.0
246,14,13,0.0
204,14,12,0.0
373,14,12,0.0
200,13,10,0.0
232,13,10,0.0
324,13,6,0.0
352,12,9,0.0
81,12,10,0.0
329,12,11,0.0
3,12,11,0.0
87,12,9,0.0
228,12,8,0.0
249,11,11,0.0
88,11,8,0.0
12,11,10,0.0
375,10,10,0.0
181,10,6,0.0
266,10,10,0.0
107,9,7,0.0
180,9,6,0.0
354,9,5,0.0
1,8,7,0.0
96,7,5,0.0
333,6,4,0.0
176,6,6,0.0
334,3,3,0.0
129,3,3,0.0
